"Hendon Central", 265, 
"Herne Hill", 197, 
"Heron Quays", 424, 
"High Barnet", 381, 
"High Street Kensington", 0, 
"Highams Park", 544, 
"Highbury & Islington", 358, 361,
"Highgate", 374, 
"Hillingdon", 33, 
"Holborn", 276, 
"Holland Park", 147, 
"Holloway Road", 364, 
"Homerton", 411, 
"Honor Oak Park", 320, 
"Hornchurch", 514, 
"Hounslow Central", 9, 
"Hounslow East", 10, 
"Hounslow West", 8, 
"Hoxton", 354, 
"Hyde Park Corner", 228, 
"Ickenham", 34, 
"IFS Cloud Greenwich Peninsula", 470, 
"IFS Cloud Royal Docks", 493, 
"Ilford", 527, 
"Imperial Wharf ", 207, 
"Island Gardens", 428, 
"Kennington", 200, 201, 
"Kensal Green", 99, 
"Kensal Rise", 130, 
"Kensington (Olympia)", 150, 151
"Kentish Town", 370, 
"Kentish Town West", 271, 
"Kenton", 112, 
"Kew Gardens ", 69, 72
"Kilburn", 129, 
"Kilburn High Road", 133, 
"Kilburn Park", 97, 
"King George V", 489, 
"King Henry's Drive", 446, 
"King's Cross & St Pancras International", 246, 247, 
"Kingsbury", 123, 
"Knightsbridge", 229, 
"Ladbroke Grove", 91, 
"Lambeth North", 289, 
"Lancaster Gate", 231, 
"Langdon Park", 417, 
"Langley", 25, 
"Latimer Road", 90, 
"Lebanon Road", 439, 
"Leicester Square", 225, 
"Lewisham", 435, 
"Leyton", 535, 
"Leyton Midland Road", 549, 
"Leytonstone", 551, 
"Leytonstone High Road", 550, 
"Limehouse", 336, 
"Liverpool Street", 343, 344, 
"Lloyd Park", 441, 
"London Bridge", 330, 331, 
"London City Airport", 490, 
"London Fields", 353, 
"Loughborough Junction", 198, 
"Loughton", 566, 
"Maida Vale", 96, 
"Manor House", 368, 
"Manor Park", 528, 
"Mansion House", 283, 
"Marble Arch", 232, 
"Maryland", 534, 
"Marylebone", 135, 
"Maze Hill", 468, 
"Merton Park", 182, 
"Mile End", 349, 
"Mill Hill Broadway", 262, 
"Mill Hill East", 377, 
"Mitcham", 175, 
"Mitcham Eastfields ", 194, 
"Mitcham Junction", 173, 174
"Monument", 0, 
"Moor Park", 44, 
"Moorgate ", 340, 
"Morden", 179, 
"Morden Road", 178, 
"Morden South", 166, 
"Mornington Crescent", 248, 
"Mudchute", 427, 
"Neasden", 126, 
"New Addington", 447, 
"New Barnet", 0, 
"New Cross", 234, 
"New Cross Gate", 323, 
"New Southgate", 385, 
"Newbury Park", 555, 
"Nine Elms", 209, 
"North Acton", 89, 
"North Ealing", 60, 
"North Greenwich", 469, 
"North Harrow", 47, 
"North Wembley", 108, 
"Northfields", 12, 
"Northolt", 55, 
"Northwick Park", 110, 
"Northwood", 44, 
"Northwood Hills", 45, 
"Northwood Junction", 314, 
"Notting Hill Gate", 231, 
"Nunhead", 322, 
"Oakleigh Park", 384, 
"Oakwood", 392, 
"Old Street", 341, 
"Orpington ", 458, 
"Osterley ", 10, 
"Oval", 199, 
"Oxford Circus", 235, 
"Paddington", 145, 
"Park Royal", 59, 
"Parsons Green", 157, 
"Peckham Rye", 294, 
"Penge West", 317, 
"Perivale", 57, 
"Petts Wood", 462, 
"Phipps Bridge", 177, 
"Piccadilly Circus", 226, 
"Pimlico", 211, 
"Pinner", 46, 
"Plaistow", 503, 
"Plumstead ", 476, 
"Pontoon Dock", 491, 
"Poplar", 419, 
"Preston Road", 111, 
"Prince Regent", 486, 
"Pudding Mill Lane", 414, 
"Purley", 310, 
"Putney Bridge", 158, 
"Queen's Park", 98, 
"Queens Road Peckham", 295, 
"Queensbury", 122, 
"Queensway", 230, 
"Ravensbourne", 466, 
"Ravenscourt Park", 77, 
"Rayners Lane", 50, 
"Reading", 31, 
"Rectory Road", 407, 
"Redbridge", 553, 
"Reeves Corner", 301, 
"Regent's Park", 240, 
"Richmond", 70, 71
"Rickmansworth", 42, 
"Roding Valley", 561, 
"Romford", 523, 
"Rotherhithe", 327, 
